DID,Subject,Course_Num,Course_Name,Credits
,ART,103,3D Design,3
,ART,101,HIST WEST ART I,3
,ART,102,ART 20TH CENT,3
,ART,145,DIGTL LAYOUT+DESIGN,3
,CRJU,142,CRIMINOLOGY,3
,CRJU,141,INTRO CRIM JUST,3
,CRJU,144,JUV JUST SYST,3
,CRJU,201,CRIM JUS ORG&ADM,3
,CRJU,263,CRIM PROC II,3
,CRJU,250,US COURTS,3
,CMPT,111,TECHNOLOGY FOR 21st CENTURY,3
,CMPT,215,COMP SCI I,3
,POSC,121,AMER NATL GOVT,3
,MATH,221,CALCULUS I,4
,MATH,222,CALCULUS II,4
,MATH,223,CALCULUS III,4
,MATH,215,LINEAR ALGEBRA,3
,MATH,217,INT MATH REASON,3
,MATH,102,INTRO-STATS,3
,MATH,140,DISCRETE MATH I,4
,MATH,125,CALC:MGMT APPLCTN,3
,MATH,101,EXCURSIONS IN MATH I,3
,PHIL,205,ETHICS,3
,MUS,221,CHORAL SING III,3
