MarID,Subject,Course_Num,Course_Name,Credits
,CRJU,101L,Introduction to Criminal Justice,3
,CRJU,202L,Criminology,3
,CRJU,230L,Policing In America,3
,CRJU,235L,Corrections,3
,CRJU,250L,Introduction to U.S. Courts,3
,CRJU,305L,Juvenile Justice System,3
,CRJU,370L,Theories of Punishment,3
,CRJU,221L,Law and Society,3
,CRJU,301L,Criminal Justice Organization and Administration,3
,CRJU,303L,Criminal Law,3
,CRJU,304L,Criminal Procedure,3
,CRJU,374L,Criminal Justice Research Methods,3
,CRJU,440L,Cross Cultural Criminal Justice Systems,3
,CRJU,477L,Senior Seminar: Capping Course,3
,CRJU,496L,Criminal Justice Internship I,3
,CRJU,497L,Criminal Justice Internship II,3
,CRJU,105L,Criminal Justice Information Literacy,1
,CRJU,304L,Criminal Procedure II: Constitutional Law,3
,MATH,110L,Excursions in Mathematics: Classical Models ,3
,MATH,111L,Excursions in Mathematics: Modern Models ,3
,MATH,115L,Calculus with Management Applications ,3
,MATH,130L,Introductory Statisitcs I,3
,MATH,241L,Calculus I,4
,MATH,242L,Calculus II,4
,MATH,343L,Calculus III,4
,MATH,210L,Linear Algebra,3
,MATH,310L,Introduction to Mathematical Reasoning,3
,MATH,330L,Probability and Statistics,3
,MATH,410L,Abstract Algebra I,3
,MATH,420L,Mathematical Analysis I,3
,MATH,450L,Fundamental Concepts of Geometry,3
,MATH,477L,Capping Course,3
,MATH,205L,Discrete Mathematics,4
,MATH,321L,Differential Equations,3
,MATH,331L,Applied Statistics,3
,MATH,393L,Special Topics in Mathematics I,3
,MATH,394L,Special Topics in Mathematics II,3
,MATH,411L,Abstract Algebra II,3
,MATH,412L,Computational Linear Algebra,3
,MATH,421L,Mathematical Analysis II,3
,MATH,422L,Applied Mathematics,3
,MATH,424L,Complex Analysis,3
,MATH,430L,Operations Research,3
,MATH,440L,Numerical Analysis,3
,MATH,441L,Combinatorics,3
,MATH,451L,Elementary Topology,3
,MATH,452L,Foundations of Mathematics,3
,POSC,110L,American National Government,3
,CMPT,120L,Introduction to Programming,3
,CMPT,103L,Technology for the 21st Century ,3
,ART,160L,History of Western Art I ,3
,ART,180L,History of Western Art II,3
,ART,366L,History of 20th Century Art,3
,ART,350L,Contemporary Art,3
,ART,478L,Senior Thesis: Portfolio,3
,ART,477L,Capping Course,3
,ART,110L,Basic Drawing ,3
,ART,101L,Fundamentals of Art & Design ,3
,ART,201L,3D Design,3
,ART,231L,Introduction to Digital Media ,3
,ART,235L,Digital Animation I ,3
,ART,320L,Digital Photography I ,3
,ART,211L,Digital Layout & Design ,3
,ART,323L,Designing for the Web ,3
,ART,321L,Digital Painting,3
,ART,322L,Multimedia Authoring,3
,ART,435L,Digital Animation II ,3
,ART,215L,Typography and Design ,3
,ART,315L,Publication Design ,3
,PHIL,200L,Ethics,3
,PHIL,301L,Environmental Ethics,3
